UF;Nr;Candidato;Partido;Situacao;Votacao;Validos
PI;400;WILSON NUNES MARTINS;PSB;Nao eleito;562615;35.72
RN;400;WILMA MARIA DE FARIA;PSB;Nao eleito;636896;43.23
SC;401;PAULO ROBERTO BARRETO BORNHAUSEN;PSB;Nao eleito;1172948;38.38
PI;200;GUSTAVO HENRIQUE LEITE FEIJÓ;PSC;Nao eleito;19286;1.22
AM;555;OMAR JOSE ABDEL AZIZ;PSD;Eleito;933996;58.51
BA;555;OTTO ROBERTO MENDONCA DE ALENCAR;PSD;Eleito;3341111;55.88
GO;551;VILMAR DA SILVA ROCHA;PSD;Nao eleito;1012496;37.52
MS;555;ANTONIO JOAO HUGO RODRIGUES;PSD;Nao eleito;86971;7.15
MT;555;RUI CARLOS OTTONI PRADO;PSD;Nao eleito;13738;10.24
PA;555;HELENILSON CUNHA PONTES;PSD;Nao eleito;313525;9.24
RO;555;RUBENS MOREIRA MENDES FILHO;PSD;Nao eleito;193184;25.94
SP;555;GILBERTO KASSAB;PSD;Nao eleito;1128582;5.89
CE;456;TASSO RIBEIRO JEREISSATI;PSDB;Eleito;2314796;57.91
MG;456;ANTONIO AUGUSTO JUNHO ANASTASIA;PSDB;Eleito;5102987;56.73
PR;456;ALVARO FERNANDES DIAS;PSDB;Eleito;4101848;77.00
SP;456;JOSÉ SERRA;PSDB;Eleito;11105874;57.92
DF;456;SANDRA SUELI QUEZADO SOARES;PSDB;Nao eleito;40506;2.82
MT;456;JOSE ROGÉRIO SALLES;PSDB;Nao eleito;541357;40.36
PA;456;MARIO COUTO FILHO;PSDB;Nao eleito;624401;18.40
RR;456;JOSE DE ANCHIETA JUNIOR;PSDB;Nao eleito;48309;20.56
GO;271;ALDO MURO JUNIOR;PSDC;Nao eleito;9226;0.34
MG;270;JOSE TARCISIO DOS SANTOS;PSDC;Nao eleito;21785;0.24
RN;177;# CARLOS ROBERTO RONCONI;PSL;Nao eleito;0;0.00
AC;500;FORTUNATO MARTINS FILHO;PSOL;Nao eleito;2232;0.60
AL;500;HELOÍSA HELENA LIMA DE MORAES;PSOL;Nao eleito;394309;31.86
AM;500;MARCOS ANTONIO DE QUEIROZ;PSOL;Nao eleito;11234;0.70
BA;500;HAMILTON MOREIRA DE ASSIS;PSOL;Nao eleito;54105;0.90
DF;500;ALDEMARIO ARAUJO CASTRO;PSOL;Nao eleito;20697;1.44
ES;500;ANDRE LUIZ MOREIRA;PSOL;Nao eleito;32006;1.90
GO;500;ELBER SAMPAIO;PSOL;Nao eleito;9503;0.35
MA;500;HAROLDO FREITAS PIRES DE SABOIA;PSOL;Nao eleito;51539;1.79
MS;500;LUCIEN ROBERTO GARCIA DE REZENDE;PSOL;Nao eleito;3056;0.25
MT;500;GILBERTO LOPES FILHO;PSOL;Nao eleito;16229;1.21
PA;500;PEDRO HOLANDA MAIA;PSOL;Nao eleito;28547;0.84
PB;500;NELSON ALEIXO DA SILVA JÚNIOR;PSOL;Nao eleito;11502;0.66
PE;500;ALBANISE PIRES FERREIRA DE AZEVEDO;PSOL;Nao eleito;27319;0.66
PR;505;LUIZ ROMEIRO PIVA;PSOL;Nao eleito;50905;0.96
RJ;500;PEDRO ROSA CABRAL;PSOL;Nao eleito;137652;1.86
RN;500;LAILSON DE ALMEIDA;PSOL;Nao eleito;15164;1.03
RO;500;ALUIZIO VIDAL FLOR;PSOL;Nao eleito;77865;10.46
SC;500;AMAURI SOARES;PSOL;Nao eleito;94846;3.10
TO;500;ELVIO QUIRINO PEREIRA;PSOL;Nao eleito;6565;0.97
AM;161;JULIO CEZAR FERRAZ DE SOUZA;PSTU;Nao eleito;3029;0.19
AP;161;PAULO RICARDO OLIVEIRA FARIAS;PSTU;Nao eleito;2558;0.70
CE;161;RAQUEL DIAS ARAUJO;PSTU;Nao eleito;42065;1.05
DF;160;ROBSON RAYMUNDO DA SILVA;PSTU;Nao eleito;3571;0.25
ES;161;RAPHAEL GÓES FURTADO;PSTU;Nao eleito;10012;0.60
MA;163;MARCOS ANTONIO SILVA DO NASCIMENTO;PSTU;Nao eleito;48564;1.69
MG;161;GERALDO DE ARAÚJO SILVA;PSTU;Nao eleito;24676;0.27
MS;167;VALDEMIR CASSIMIRO DE SOUZA;PSTU;Nao eleito;1435;0.12
PA;161;ANGELA SOARES DE AZEVEDO;PSTU;Nao eleito;10385;0.31
PB;161;SEVERINA DOS RAMOS SILVA DANTAS;PSTU;Nao eleito;1461;0.08
PE;162;SIMONE FONTANA;PSTU;Nao eleito;5689;0.14
PI;160;GERALDO DO NASCIMENTO CARVALHO;PSTU;Nao eleito;8274;0.53
PR;160;EVANDRO JOSÉ CASTAGNA;PSTU;Nao eleito;8677;0.16
RJ;161;HEITOR FERNANDES FILHO;PSTU;Nao eleito;11444;0.15
RN;161;ANA CÉLIA SIQUEIRA FERREIRA;PSTU;Nao eleito;13253;0.90
RR;160;DIONISIO ALVES DA SILVA;PSTU;Nao eleito;2562;1.09
RS;160;JULIO CEZAR LEIRIAS FLORES;PSTU;Nao eleito;22301;0.39
SC;160;ROSANE DE SOUZA;PSTU;Nao eleito;8191;0.27
SE;161;EDIVALDO SOARES LEANDRO;PSTU;Nao eleito;26307;2.87
SP;161;ANA LUIZA DE FIGUEIREDO GOMES;PSTU;Nao eleito;101131;0.53
PA;131;PAULO ROBERTO GALVAO DA ROCHA;PT;Eleito;1566350;46.16
RN;131;MARIA DE FÁTIMA BEZERRA;PT;Eleito;808055;54.84
AM;131;FRANCISCO EDNALDO PRACIANO;PT;Nao eleito;549748;34.44
AP;131;DORALICE NASCIMENTO DE SOUZA;PT;Nao eleito;38919;10.71
DF;133;GERALDO MAGELA PEREIRA;PT;Nao eleito;269791;18.80
ES;131;JOAO CARLOS COSER;PT;Nao eleito;33881;20.16
GO;131;MARINA PIGNATARO SANT'ANNA;PT;Nao eleito;298589;11.07
MS;133;RICARDO AYACHE;PT;Nao eleito;281022;23.09
PB;133;LUCÉLIO CARTAXO PIRES DE SÁ;PT;Nao eleito;521938;29.93
PE;130;JOÃO PAULO LIMA E SILVA;PT;Nao eleito;1436692;34.80
RS;131;OLÍVIO DE OLIVEIRA DUTRA;PT;Nao eleito;2024417;35.31
SC;130;MILTON MENDES DE OLIVEIRA;PT;Nao eleito;428;14.00
SE;131;ROGÉRIO CARVALHO SANTOS;PT;Nao eleito;416988;45.52
SP;131;EDUARDO MATARAZZO SUPLICY;PT;Nao eleito;6176499;32.21
MG;700;EDILSON JOSE DO NASCIMENTO;PT do B;Nao eleito;113;0.13
AL;144;FERNANDO AFFONSO COLLOR DE MELLO;PTB;Eleito;689266;55.69
PI;141;ELMANO FÉRRER DE ALMEIDA;PTB;Eleito;981219;62.29
DF;144;JORGE AFONSO ARGELLO;PTB;Nao eleito;271525;18.92
PB;145;JOSÉ WILSON SANTIAGO;PTB;Nao eleito;506093;29.02
RR;144;FRANCISCO MOZARILDO DE MELO CAVALCANTI;PTB;Nao eleito;25594;10.89
SP;140;MARLENE OLIVEIRA DE CAMPOS MACHADO;PTB;Nao eleito;330302;1.72
AL;369;ELIAS BARROS DIAS;PTC;Nao eleito;5914;0.48
AP;369;PALMIRA DAS NEVES BITTENCOURT;PTC;Nao eleito;5016;1.38
PB;360;WALTER CORREIA DE BRITO FILHO;PTC;Nao eleito;11063;0.63
PR;360;# LUIZ ANTONIO BARBARA;PTC;Nao eleito;0;0.00
AL;192;MARCOS BARROS AGUIAR;PTN;Nao eleito;2741;0.22
ES;433;NEUCIMAR FERREIRA FRAGA;PV;Nao eleito;52292;31.11
PA;433;SIMÃO HERNAN BENDAYAN;PV;Nao eleito;14058;0.41
SP;430;CARLOS ALBERTO DOS SANTOS;PV;Nao eleito;186598;0.97
PA;777;MARCELA GIOVANA GUSMÃO TOLENTINO DE MATOS;SD;Nao eleito;94387;2.78
TO;777;CARLOS EDUARDO TORRES GOMES;SD;Nao eleito;27612;40.77
